Departamento,Afrocolombiano,Indígena
AMAZONAS,2,21
ANTIOQUIA,473,351
ARAUCA,24,93
ATLANTICO,10,2
SANTAFE DE BOGOTA D.C,12,4
BOLIVAR,160,13
BOYACA,14,13
CALDAS,9,154
CAQUETA,30,102
CASANARE,7,17
CAUCA,327,1049
CESAR,80,350
CHOCO,692,403
CORDOBA,63,324
CUNDINAMARCA,11,3
GUAINIA,1,25
GUAVIARE,33,105
HUILA,6,20
LA GUAJIRA,34,420
MAGDALENA,76,62
META,62,135
NARIÑO,776,537
NORTE DE SANTANDER,29,25
PUTUMAYO,65,229
QUINDIO,3,6
RISARALDA,27,116
SANTANDER,28,14
SIN INFORMACIÓN,60,34
SUCRE,59,35
TOLIMA,22,177
VALLE DEL CAUCA,427,169
VAUPES,1,70