Pueblo,Municipio,Latitud,Longitud,En peligro de ser exterminados cultural o físicamente por el conflicto armado interno por el Auto 004 de 2009.,Con población entre 0-99 personas,Con población entre 100-199 personas,Con población entre 200-500 personas
ACHAGUA,PUERTO LÓPEZ,"4,09912","-72,95647",,,,
AMBALÓ,SILVIA,"2,61557","-76,38261",,,,
AMORÚA,PUERTO CARREÑO,"6,18903","-67,48588",,,,
ANDOKE,SOLANO,"0,69937","-75,25353",,,,X
ARHUACO,PUEBLO BELLO,"10,41706","-73,5804",X,,,
AWÁ,RICAURTE,"1,21474","-77,99801",X,,,
BANIVA,CACAHUAL,"3,525278","-67,415833",,X,,
BARA,MITÚ,"1,25778","-70,23472",,,,
BARASANO,PACOA,"0,021389","-71,005556",,,,
BARI ,EL CARMEN,"8,51064","-73,44776",,,,
BETOYE,TAME,"6,46065","-71,73618",X,X,,
BORA,TARAPACÁ,"-2,878889","-69,743889",,,,X
CAÑAMOMO LOMAPRIETA,SUPÍA,"5,45303","-75,65072",,,,
CARAPANA,MITÚ,"1,25778","-70,23472",,,,
CHIMILA ,SABANAS DE SAN ÁNGEL,"10,0325","-74,215556",X,,,
CHIRICOA ,TULUÁ,"4,08466","-76,19536",,X,,
COCAMA ,LETICIA,"-4,21528","-69,94056",,,,
COCONUCO ,PURACÉ,"2,341389","-76,496944",X,,,
COREGUAJE,MILÁN,"1,289167","-75,506389",X,,,
CUBEO,MITÚ,"1,25778","-70,23472",,,,
CUIBA,HATO COROZAL,"6,154722","-71,765278",X,,,
CUNA TULE ,TURBO,"8,09263","-76,72822",X,,,
CURRIPACO ,INÍRIDA,"3,870833","-67,921111",,,,
DESANO,MITÚ,"1,25778","-70,23472",,,,
DUJOS,NEIVA,"2,9273","-75,28189",,,,
EMBERÁ,ALTO BAUDÓ,"5,51527","-76,97472",,,,
EMBERÁ CHAMÍ ,RIOSUCIO,"5,42164","-75,70318",X,,,
EMBERÁ DOBIDA,BOJAYÁ,"6,523611","-76,974444",X,,,
EMBERÁ KATÍO,BAGADÓ,"5,41164","-76,4152",X,,,
EPERARA SIAPIDARA ,TIMBIQUÍ,"2,7717","-77,66536",X,,,
GUANE,RIOSUCIO,"5,42164","-75,70318",,X,,
GUARIQUEMA ,CACAHUAL,"3,525278","-67,415833",,X,,
GUAYABERO ,SAN JOSÉ DEL GUAVIARE,"2,57286","-72,64591",X,,,
HITNU,ARAUQUITA,"7,02917","-71,42806",,,,X
INGA ,EL TABLÓN DE GÓMEZ,"1,42717","-77,09693",X,,,
KAKUA,MITÚ,"1,25778","-70,23472",,X,,
KAMËNTSA ,SIBUNDOY,"1,20296","-76,92275",X,,,
KANKUAMO,VALLEDUPAR,"10,46314","-73,25322",X,,,
KARIJONA,LA PEDRERA,"-1,328611","-69,579722",,,X,
KAWIYARÍ ,PUERTO NARIÑO,"-3,78889","-70,35584",,,,X
KICHWA,SAN MIGUEL,"0,343611","-76,910833",X,,,
KIZGÓ,SILVIA,"2,61557","-76,38261",,,,
KOFÁN,VALLE DEL GUAMUEZ,"0,4525","-76,91917",X,,,
KOGUI ,DIBULLA,"11,27251","-73,30911",X,,,
LETUAMA,LA PEDRERA,"-1,328611","-69,579722",,,,X
MACAHUAN ,TAME,"6,46065","-71,73618",,,,
MAKÚ ,COYAIMA,"3,79936","-75,19467",,X,,
MAKUNA ,PACOA,"0,021389","-71,005556",,,,
MAPAYERRI,CUMARIBO,"4,44552","-69,79897",,X,,
MASIGUARE  ,PAZ DE ARIPORO,"5,88148","-71,89167",,,,
MATAPÍ ,MIRITÍ - PARANÁ,"-0,883333","-70,983611",,,,X
MIRAÑA ,LA PEDRERA,"-1,328611","-69,579722",,,,X
MISAK ,SILVIA,"2,61557","-76,38261",X,,,
MUINANE ,PUERTO NARIÑO,"-3,78889","-70,35584",,,,
MUISCA,CHÍA,"4,85876","-74,05866",,,,
MURUÍ,LA CHORRERA,"-1,452778","-72,7975",X,,,
NASA,PÁEZ,"2,646944","-75,971667",X,,,
NONUYA ,PUERTO SANTANDER,"-0,619167","-72,383333",,,X,
NUKAK,SAN JOSÉ DEL GUAVIARE,"2,57286","-72,64591",X,,,X
NUTABE,ITUANGO,"7,17117","-75,76404",,X,,
OCAINA,LA CHORRERA,"-1,452778","-72,7975",,,,X
PASTOS ,CUMBAL,"0,90875","-77,79145",,,,
PIAPOCO,CUMARIBO,"4,44552","-69,79897",,,,
PIAROA,CUMARIBO,"4,44552","-69,79897",,,,
PIJAO,ORTEGA,"3,9361","-75,22169",,,,
PIRATAPUYO ,MITÚ,"1,25778","-70,23472",,,,
PISAMIRA,MITÚ,"1,25778","-70,23472",,,X,
POLINDARA ,TOTORÓ,"2,510278","-76,401944",,,,
PUINAVE,INÍRIDA,"3,870833","-67,921111",,,,
QUILLACINGA ,PASTO,"1,21361","-77,28111",,,,
QUIMBAYA,RIOSUCIO,"5,42164","-75,70318",,X,,
SÁLIVA,OROCUÉ,"4,79035","-71,33917",,,,
SIKUANI ,CUMARIBO,"4,44552","-69,79897",X,,,
SIONA,PUERTO ASÍS,"0,50514","-76,49571",X,,,
SIRIANO ,MITÚ,"1,25778","-70,23472",,,,
TAIWANO,PACOA,"0,021389","-71,005556",,X,,
TANIMUKA ,LA PEDRERA,"-1,328611","-69,579722",,,,
TARIANO,MITÚ,"1,25778","-70,23472",,,X,
TATUYO,MITÚ,"1,25778","-70,23472",,,,
TAYRONAS,PUERTO GAITÁN,"4,31328","-72,08157",,X,,
TIKUNA ,LETICIA,"-4,21528","-69,94056",,,,
TOTORÓ,TOTORÓ,"2,510278","-76,401944",X,,,
TSIRIPU ,PAZ DE ARIPORO,"5,88148","-71,89167",,X,,
TUKANO,MITÚ,"1,25778","-70,23472",,,,
TUYUCA,MITÚ,"1,25778","-70,23472",,,,
U`WA ,CUBARÁ,"7,00578","-72,10568",X,,,
WANANO ,MITÚ,"1,25778","-70,23472",,,,
WAYUU,URIBIA,"11,71505","-72,26592",X,,,
WIPIWI ,PAZ DE ARIPORO,"5,88148","-71,89167",,X,,
WIWA,SAN JUAN DEL CESAR,"10,77107","-73,00314",X,,,
WOUNAN,EL LITORAL DEL SAN JUAN,"4,25875","-77,36516",X,,,
YAGUA ,LETICIA,"-4,21528","-69,94056",,,,X
YAMALERO ,PAZ DE ARIPORO,"5,88148","-71,89167",,X,,
YANACONA ,LA VEGA,"2,00187","-76,7789",X,,,
YARÍ,LA MACARENA,"2,18266","-73,7871",,X,,
YARURO ,PAZ DE ARIPORO,"5,88148","-71,89167",,X,,
YAUNA,LA PEDRERA,"-1,328611","-69,579722",,X,,
YERAL,CACAHUAL,"3,525278","-67,415833",,X,,
YUKPA ,BECERRIL,"9,70413","-73,2793",X,,,
YUKUNA ,LA PEDRERA,"-1,328611","-69,579722",,,,
YURUTÍ ,MITÚ,"1,25778","-70,23472",,,,
ZENÚ,TUCHÍN,"9,18662","-75,55473",X,,,